gene_id,leaf_section_1,leaf_section_2,leaf_section_3,leaf_section_4,leaf_section_5,leaf_section_6,leaf_section_7,leaf_section_8,leaf_section_9,leaf_section_10,leaf_section_11
ENSRNA049465003,61,NA,NA,NA,77,NA,NA,NA,NA,NA,NA
ENSRNA049465109,73,NA,NA,NA,105,NA,NA,NA,NA,NA,NA
ENSRNA049465125,119,12,58.530974650235756,56,53,16.913561182718663,2.0430716236257673,26,32,131.42204085226487,9
ENSRNA049465309,23,74,NA,NA,97,NA,NA,237,NA,NA,72
ENSRNA049466338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
ENSRNA049468277,35,375,60.42781179167858,75,35,1.0632076609277532,1.5854573988591139,15,182,24.798120260331764,33
ENSRNA049468709,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSRNA049469398,47,332,98.63553135502691,900,7,6.744714951569588,63.67914103727405,745,1151,49.31813906450144,96
ENSRNA049469734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
ENSRNA049471043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
ENSRNA049471090,65,NA,NA,NA,63,NA,NA,NA,NA,NA,NA
ENSRNA049471102,117,26,NA,14,5,1.3825971486193391,129.47396509547372,49,10,NA,42
ENSRNA049471772,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
ENSRNA049471882,NA,NA,80.20911340958233,NA,NA,NA,NA,NA,NA,54.200463350797506,NA
ENSRNA049472354,33,15,112.45534481411036,47,59,116.0924106643491,11.696479057674301,131,89,124.81602063959676,193
ENSRNA049472463,7,58,NA,59,81,1.0176657787187218,3.4886535581947102,NA,NA,NA,198
ENSRNA049472487,19,111,31.1623244665607,NA,31,NA,NA,198,NA,54.3612824037219,NA
ENSRNA049472556,127,NA,8.67125550373863,12,53,6.512582812719678,6.567574827260042,NA,NA,131.0497580722907,9
ENSRNA049473653,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA
ENSRNA049473712,27,NA,132.50762316650594,17,121,2.4002613507066815,6.940656716051089,177,21,99.03343899451231,77
ENSRNA049474050,NA,NA,83.73181095797614,NA,NA,NA,NA,NA,NA,13.470594814292005,163
ENSRNA049474126,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
ENSRNA049475677,89,NA,NA,NA,101,NA,NA,165,145,NA,NA
ENSRNA049475757,11,NA,8.67125550373863,17,31,104.51359956401764,6.4073200724335315,27,34,105.8686929953268,82
ENSRNA050013657,NA,NA,NA,NA,NA,36.54791170401903,37.66647698865755,NA,168,NA,NA
Os01g0100100,33,7,72.07981137482736,15,115,8.925783124714028,4.119207508038534,9,13,147.98640330347823,24
Os01g0100400,81,15,91.31915952374744,7,105,33.77841749079154,2.444325776543603,NA,NA,117.38458108899071,NA
Os01g0100500,111,16,40.375533439283,8,131,17.982627823036758,1.1705746661269867,NA,6,30.757310249082934,17
Os01g0100600,NA,4,6.23246489331214,NA,NA,1.2018611357610134,38.82882408792483,5,4,132.12928928391028,2
Os01g0100700,37,147,92.40306646171476,34,105,1.6472039054725545,58.772141913464864,NA,8,15.585232084789663,18
Os01g0100800,73,11,62.05367219862956,5,3,35.913472250225574,9.81840817066686,NA,10,43.54464621420993,18
Os01g0100900,83,36,31.975254670036193,38,3,18.623594084617416,5.160089590194773,18,15,124.54413870481851,24
Os01g0101200,101,17,21.13618529036291,48,99,1.1604968085732705,44.63766880568626,100,50,106.89935653893069,45
Os01g0101600,49,34,108.39069379673288,37,47,16.331448942082076,1.4772632398219894,18,9,153.2250173147615,32
Os01g0101700,NA,8,93.21599666519026,NA,NA,1.0819900521977528,102.90668820939166,48,87,47.19283975734581,113
Os01g0102000,53,10,NA,NA,67,NA,NA,NA,NA,NA,NA
Os01g0102300,19,25,17.61348774196909,35,119,2.5744188974556055,38.566461446567494,53,24,149.77229444368842,42
Os01g0102500,61,9,60.42781179167858,5,67,1.7059162438327617,48.80754400976481,10,11,43.01420989047586,7
Os01g0102600,35,375,103.5131125758799,306,117,43.92551467028553,99.56977063717738,181,168,98.59274147931616,197
